	content	language
21	"desastrosas"", além de acusá-la de ter defendido ""apaixonadamente"" o banqueiro Daniel Dantas quando este foi preso pela Polícia Federal.  Esta última acusação ocorreu em razão de comentário de Miriam na Rádio CBN onde ela defendia a inocência de Dantas.  As Organizações Globo foram criticadas por divulgar alterações das biografias de seus contratados na Wikipédia, ferramenta de caráter colaborativo e aberta à edição de todos e que, segundo seu próprio criador, Jimmy Wales, não deve ser usada como fonte primária de informação.  Também foram criticadas por só terem noticiado as alterações em plena campanha eleitoral de  .  O jornalista Miguel do Rosário divulgou que um usuário que navegava através da rede da Companhia de Processamento de Dados do Estado de São Pau"	pt
22	lo inseriu uma calúnia na biografia do músico Raul Seixas.  Ele também relatou que já visitou o Palácio do Planalto e que teve acesso à senha da rede sem fio do gabinete presidencial. Os wikipedistas recebem, por vezes, prêmios ou medalhas por seu bom trabalho, uma espécie de reforço positivo na forma de fichas personalizadas de apreço. Estas fichas revelam uma ampla gama de trabalho valorizado indo muito além de simples edições para incluir suporte social, ações administrativas e os tipos de trabalho de articulação. O fenômeno de medalhas foi analisado por pesquisadores que procuram determinar como isso poderia ter implicações em outras comunidades envolvidas em contribuições de larga escala. Várias edições da Wikipédia também mantêm um serviço de orientação,	pt
23	"onde os voluntários respondem a perguntas do público em geral. De acordo com um estudo realizado por Pnina Shachaf no ""Journal of Documentation"", a qualidade do serviço de orientação da Wikipédia é comparável a uma mesa de orientação de uma biblioteca, com uma precisão de  %. O conteúdo da Wikipedia também tem sido utilizado em estudos acadêmicos, livros, conferências e processos judiciais.    O website do Parlamento do Canadá refere-se ao artigo da Wikipédia sobre casamento homossexual no ""links relacionados"" de sua lista de ""leitura adicional"" do ""Civil Marriage Act"".  As afirmações da enciclopédia são cada vez mais utilizadas como fonte por organizações como os tribunais federais dos Estados Unidos e da Organização Mundial da Propriedade Intelectual   – mas"	pt
24	principalmente para obter informações de apoio ao invés de informações decisivas em um caso.  O conteúdo exibido na Wikipédia também tem sido citado como fonte e referência em alguns relatórios da Comunidade de Inteligência dos Estados Unidos.  Em dezembro de  , a revista científica RNA Biology lançou uma nova seção para a descrição de famílias de moléculas de RNA e requereu que os autores que contribuem para a seção também apresentassem um projeto de artigo sobre o RNA familiar da Wikipédia. Uma série de enciclopédias interativas que incorporam artigos escritos pelo público já existiam muito antes da Wikipédia ser fundada. A primeira delas foi a BBC Domesday Project, em  , que incluía textos   e fotografias feitos por mais de um milhão de contribuintes do Rein	pt
25	"o Unido, cobrindo temas como geografia, arte e cultura desse país. Essa foi a primeira enciclopédia interativa  , sendo a maioria dos artigos acessíveis através de um mapa interativo do Reino Unido. A interface do usuário e parte do conteúdo do ""Projeto Domesday"" foram emulados em um site até  .  Uma das mais bem sucedidas enciclopédias online que incorporava edições feitas pelo público foi a h g , criada por Douglas Adams e dirigida pela BBC. A enciclopédia h g  tinha foco em artigos informativos. Ambos os projetos citados tinham semelhanças com a Wikipédia, mas também não davam privilégios editoriais completos para seus usuários. Um projeto não-wiki similar, o GNUpedia, coexistia com a Nupedia no início de sua história. No entanto esse foi aposentado e seu cr"	pt
26	"iador, Richard Stallman, deu apoio à Wikipédia. Outros defendem a ideia de que a Wikipédia, ou projetos semelhantes, deverá deslocar inteiramente publicações tradicionais. Por exemplo, Chris Anderson, editor-chefe da revista Wired, escreveu na revista Nature que a abordagem de ""sabedoria das multidões"" da Wikipédia não substitui as revista científicas com os seus rigorosos processos de revisão. Contrastando o tratamento dado a Abraham Lincoln na Wikipédia com o oferecido na American National Biography Online pelo historiador da Guerra Civil, James McPherson, Rosenzweig disse que ambos eram essencialmente corretos e cobriam os episódios principais da vida de Lincoln, mas elogiou ""a contextualização mais rica de McPherson... seu hábil uso de citações para captura"	pt
27	"r a voz de Lincoln,... a sua capacidade de transmitir uma mensagem profunda com apenas um punhado de palavras"". Por outro lado, ele deu um exemplo de prosa da Wikipédia que considerou ""verborreica e sem graça"". Rosenzweig fez ainda uma crítica mais, comparando ""a habilidade e julgamento seguro de um historiador experiente"", exibido por McPherson e outros, com o ""arcaísmo"" da Wikipédia, que ele comparou a esse respeito à revista American Heritage, e disse que embora a Wikipédia forneça frequentemente extensas referências, elas não são as melhores disponíveis. Um estudo de   realizado por Henry Blodget mostrou que uma amostra aleatória de grandes artigos na Wikipedia   foi criada por novatos ou anônimos  , enquanto a maioria da edição e formatação é feita por usu"	pt
28	ários experientes  . Em maio de   havia   versões ativas da Wikipédia em diferentes idiomas, das quais nove possuíam mais de   milhão de artigos,   tinham mais de     artigos e   tinham mais de     artigos. De acordo com o Alexa, o subdomínio anglófono recebe  , % do tráfego acumulado da Wikipédia, com o restante dividido entre as outras línguas  .  A Wikipédia em inglês possui o maior número de artigos  , seguida em maio de   pela neerlandesa, a alemã, a sueca e a francesa. Rosenzweig também criticou a ambiguidade — encorajada pela política de imparcialidade ou de ponto de vista neutro — significando que é difícil discernir na Wikipédia qualquer orientação interpretativa global da história. Por exemplo, ele citou a conclusão do artigo da Wikipédia em inglês so	pt
29	"bre William Clarke Quantrill. Embora em geral elogiando o artigo, considerou sua conclusão indecisa: ""Alguns historiadores... lembram dele como um fora-da-lei oportunista e sedento de sangue, enquanto outros continuam a vê-lo como um soldado audaz e um herói popular."" Alguns observadores afirmam que a Wikipédia é uma ameaça econômica para os editores de enciclopédias tradicionais, muitos dos quais podem ser incapazes de competir com um produto que é essencialmente livre. Nicholas Carr escreveu no ensaio ""A amoralidade da Web  . "", falando sobre a chamada ""Web  . "" como um todo: ""implícita nas visões de êxtase de Web  .  é a hegemonia do amador. Eu, pelo menos, não posso imaginar nada mais assustador."" O site de comédia CollegeHumor produziu um esboço de vídeo c"	pt
30	"hamado ""Professor Wikipédia"", em que o fictício Professor Wikipédia instrui uma classe com várias declarações inverificáveis e, ocasionalmente, absurdas. Os artigos da Wikipédia estão organizados basicamente de três formas de acordo com: estado de desenvolvimento, o assunto e o nível de acesso necessário para edição. O estado mais desenvolvido de artigos é chamado de ""artigos destacados""  : artigos classificados como tal são os que serão apresentados na página principal da Wikipédia.   O pesquisador Giacomo Poderi descobriu que os artigos tendem a atingir o estatuto de AD através do trabalho intensivo de poucos editores.  Em  , em preparação para a produção de uma versão impressa, a Wikipédia em inglês introduziu uma escala de avaliação contra a qual a qualidad"	pt
31	e dos artigos é julgada pelos leitores. Um estudo de   conduzido por pesquisadores da Universidade Carnegie Mellon e do Palo Alto Research Center apresentou uma distribuição de temas, bem como o crescimento   em cada campo relativos à Wikipédia em inglês: Todo o texto contido na Wikipedia era coberto pela GNU Free Documentation License  , uma licença copyleft que permite a redistribuição, a criação de obras derivadas e o uso comercial do conteúdo preservando os direitos autorais dos autores,  até junho de  , quando foi adotada a licença Creative Commons Attribution-ShareAlike    . .  A Wikipédia tem trabalhado na mudança para as Licenças Creative Commons porque a GFDL, inicialmente projetada para manuais de software, não foi considerada adequada para obras de r	pt
32	"eferência online e porque as duas licenças eram incompatíveis.  Em resposta ao pedido da Fundação Wikimedia, em novembro de  , a Free Software Foundation   lançou uma nova versão da GFDL concebida especificamente para permitir à Wikipédia relicenciar seu conteúdo para CC-BY-SA em   de agosto de  . A Wikipédia e seus projetos irmãos realizaram um referendo em toda a comunidade para decidir se devia ou não fazer a troca da licença.  O referendo ocorreu entre   e   de abril.  Os resultados foram  , % ""Sim"",  , % ""Não"" e  , % ""sem opinião.""  Em consequência do referendo, o Conselho Diretivo da Wikimedia votou para mudar para a licença Creative Commons. A mudança foi efetivada em   de junho de  .  A posição de que a Wikipédia é apenas um serviço de hospedagem tem si"	pt
33	do utilizada com sucesso como uma defesa em tribunal.  A utilização de arquivos de mídia   varia entre as várias edições em diferentes idiomas. Algumas edições da Wikipédia, como a Wikipédia em inglês, incluem arquivos de imagem não-livres sob a doutrina do fair use  , enquanto outras optaram por não o fazer, em parte, por causa das diferenças nas leis de direitos autorais dos vários países — por exemplo, a noção de fair use não existe na lei de direitos autorais japonesa. Arquivos de mídia cobertos por licenças de conteúdo livre   são compartilhados entre as diferentes edições da Wikipédia através do repositório Wikimedia Commons, um projeto também operado pela Wikimedia Foundation. No entanto, deve-se considerar que estes números dizem apenas respeito aos art	pt
34	"igos, é possível que um tópico contenha uma série de artigos curtos e outro artigos muito grandes. Além disso, a cobertura exata da Wikipédia está sob constante revisão pelos editores e desacordos não são incomuns  .  Um ""WikiProjeto"" é um lugar ou conjunto de páginas usadas por um grupo de editores para coordenar o trabalho sobre um tópico específico. As páginas de discussão anexadas a um projeto são muitas vezes usadas para coordenar as mudanças que ocorrem nos artigos relacionados com o projeto. A Wikipédia também mantém um guia de estilo chamado de Livro de Estilo  , que estipula, por exemplo, que o título do artigo e outros títulos alternativos devem aparecer em negrito na primeira frase de qualquer artigo.Obter o conteúdo completo da Wikipédia para reutil"	pt
35	"ização apresenta desafios, uma vez que a cópia direta através de um web crawler é desencorajada.  A Wikipédia publica ""dumps"" de seu conteúdo, mas estes consistem apenas de texto; em   não havia dumps disponíveis de imagens da Wikipédia. A comunidade Wikipédia estabeleceu ""uma espécie de burocracia"", incluindo ""uma clara estrutura de poder que dá aos administradores voluntários a autoridade para exercer o controle editorial.""    Editores com boa reputação na comunidade podem ser nomeados para um dos vários níveis de gestão de voluntários, como os autorrevisores  , reversores  , eliminadores   e administradores  .   Apesar do nome, os administradores não desfrutam de qualquer privilégio especial na tomada de decisões; em vez disso eles limitam-se, na sua maioria"	pt
36	", a fazer edições que têm efeitos em todo o projeto e que, portanto, não são permitidas aos editores comuns, e a impedir usuários de fazerem edições disruptivas  .   Páginas e verbetes podem ser apagados por usuários que possuem os cargos de eliminador ou administrador, através de votações ou por eliminação rápida, quando descumprem alguma política do site.  Burocratas e verificadores são dois outros cargos que podem ser atribuídos a editores.A comunidade da Wikipédia tem sido descrita como ""cult"",     e criticada por não acomodar os usuários inexperientes. Como o conteúdo da Wikipédia é distribuído sob uma licença aberta, qualquer um pode reutilizar ou redistribuí-lo sem nenhum custo. O conteúdo da Wikipédia é publicado fora do site Wikipedia em muitas formas,"	pt
37	"tanto online como offline.A Wikipédia tem muitos métodos de resolução de litígios. O ciclo ""seja audaz, reverta, discuta"" ocorre algumas vezes, quando um usuário faz uma edição, outro usuário reverte essa edição e o assunto é discutido na página de discussão apropriada. Com o fim de obter um consenso mais amplo da comunidade, as questões podem ser levantadas na ""Esplanada"" ou nos ""Pedidos de opinião"", locais em que é solicitada a participação de outros usuários na discussão. Na OOPSLA de  , o CTO da Wikimedia Brion Vibber fez uma apresentação intitulada ""Otimização de Desempenho da Comunidade: Fazendo a sua Equipe Funcionar Tão Bem Quanto o Seu Site"" em que discutiu os desafios de lidar com as contribuições de uma grande comunidade e comparou o processo com o"	pt
38	"de desenvolvimento de softwares. O The New York Times publicou uma coluna com uma pesquisa sobre a Wikipédia no momento do seu décimo aniversário citando que, ""... Wikimedia Foundation colaborou em um estudo da base contribuinte da Wikipédia e descobriu que ela era composta por apenas  % de mulheres e a idade média de um contribuinte estava entre os   e   anos, de acordo com o estudo conjunto de um centro da Universidade das Nações Unidas e da Universidade de Maastricht"", e também observa que ""as pesquisas sugerem que menos de  % de suas centenas de milhares de colaboradores são mulheres. "" A meta estabelecida por Sue Gardner, Diretora Executiva da Fundação Wikimedia, é ver as contribuições femininas aumentarem para  % até  . Existem fóruns especializados que c"	pt
39	"entralizam as discussões de decisões específicas, como por exemplo, se um artigo deve ou não ser eliminado. A mediação é por vezes utilizada, embora tenha sido considerada por alguns wikipedistas inútil na resolução de disputas particularmente controversas. O Conselho de arbitragem   da Wikipédia resolve disputas quando outros métodos falham. O ArbCom geralmente não se pronuncia sobre a exatidão fatual do conteúdo do artigo, embora, por vezes, imponha a política do ""ponto de vista neutro"". Análises estatísticas sugerem que a resolução de disputas na Wikipédia ignora o conteúdo das disputas de usuários e centra-se, ao invés disso, na conduta do usuário, funcionando não tanto para resolver disputas e promover a paz entre os usuários conflitantes, mas para elimina"	pt
40	r usuários problemáticos enquanto os usuários potencialmente produtivos voltam a participar. Suas soluções incluem o banimento de usuários da Wikipédia  , soluções em relação ao assunto  , bloqueio de artigos   e avisos e penalidades  .  Entretanto, nem todas as versões da Wikipédia possuem um ArbCom, sendo esta uma ferramenta opcional. Proibições totais de edição na Wikipédia são em grande parte limitadas aos casos de personificação falsa e comportamento antissocial. Tendem a ser emitidos mais avisos para problemas na conduta de edição e condutas anticonsenso do que para condutas antissociais. Em um estudo de   sobre a comunidade da Wikipédia, a doutoranda em economia Andrea Ciffolilli argumentou que os baixos custos de transação de participar de software wiki	pt
41	"criaram um catalisador para o desenvolvimento colaborativo e que uma abordagem de ""construção criativa"" incentiva a participação.  Em seu livro  , O Futuro da Internet e Como Pará-lo, Jonathan Zittrain, do Oxford Internet Institute e do Berkman Center for Internet & Society, pertencente à Harvard Law School, cita o sucesso da Wikipédia como um caso de como a colaboração aberta tem fomentado a inovação na web.  Um estudo de   revelou que usuários da Wikipédia eram menos agradáveis e abertos, embora mais conscientes, que os não-usuários da Wikipedia.   Um estudo de   sugeriu que havia ""indícios de uma crescente resistência da comunidade da Wikipédia a novos conteúdos."" De acordo com as regras da Wikipédia, só os temas considerados ""enciclopédicos"" são dignos de"	pt
42	"ter verbete na Wikipédia, e esse verbete não deve ser redigido como um verbete de dicionário.  Os temas dos artigos devem também atender aos padrões de ""notoriedade"" da Wikipédia,  o que normalmente significa que ele deve ter recebido uma cobertura significativa em fontes secundárias confiáveis, tais como a mídia ou grandes revistas acadêmicas que são independentes do assunto do tópico. Além disso, a Wikipédia deve expor o conhecimento que já está estabelecido e reconhecido.  — em outras palavras, não deve apresentar, por exemplo, novas informações ou obras originais. Uma alegação que é suscetível de ser questionada requer pelo menos uma referência a uma fonte confiável. Entre os editores da Wikipédia, isto é frequentemente descrito como ""comprovação, não a ver"	pt
43	"dade"", para expressar a ideia de que os leitores, e não a enciclopédia, são responsáveis por verificar a veracidade dos artigos e fazer as suas próprias interpretações.  Finalmente, a Wikipédia não deve tomar partido.  Todas as opiniões e pontos de vista, se imputáveis a fontes externas, deverão ser adequadamente cobertos pelo texto do artigo.  Isto é conhecido como ponto de vista neutro, ou NPOV.Vários outros projetos de wiki-enciclopédias foram iniciados, em grande parte sob uma filosofia diferente do modelo editorial aberto e baseado no chamado ""princípio da imparcialidade"" da Wikipédia. O Wikinfo, por exemplo, não requer um ponto de vista neutro e permite pesquisas originais. Novos projetos inspirados na Wikipédia — como o Citizendium, Scholarpedia, Conserv"	pt
